제목,내용,평점,좋아요 수
한공주,아 미친것들,4.0,29
비상선언,"비상선언
배우가 너무 아깝다",2.5,25
존 윅 4,"이번편은 일본향이 물씬 풍기는군요
그래서 이번엔 몇 킬하셨습니까 형님",3.0,28
더 파이브,"타락천사
소재는 좋은데 뭔가 아숩다",2.5,17
알투비:리턴투베이스,손과 발이 오그라들어,2.0,21
소풍,아이고야 소풍 내일 가자,3.0,18
아틀라스,"동시화 시키기 겁나 어렵네
AI와의 사랑이라 별로",2.5,23
목스박,"엔딩 크레딧에 투자자 이름이 제일 먼저 올라오네
짠하다",1.0,20
시민덕희,"실화라니 놀랍네
제보하면 1억 포스터가 거짓말이라니 충격이다",3.0,26
헬머니,자학하는 욕은 이기기 어렵지,2.5,14
서치 아웃,"이시언씨 화이팅
할말이 없네요",1.5,16
디센트,"마이 프레셔스~~~
니가 왜 거기서 나와?",2.0,18
내가 죽던 날,인생은 생각하는거 보다 훨씬 길어,3.0,14
바람,사실상 천만 영화,3.5,19
광대들: 풍문조작단,걍 조선으로 돌아가자,2.5,15
스파이더맨: 어크로스 더 유니버스,"스파이더맨 종합선물 세트
2편은 언제 나오려나",3.5,32
스파이더맨: 뉴 유니버스,"누구나 마스크를 쓸 수 있어
킹핀은 용산에 있는 누굴 많이 닮았네",3.0,35
성실한 나라의 앨리스,가지고 싶은게 있으면 말을 해야해요,3.5,27
서울의 봄,"야만의 시대
권력에 취해 버린 기괴한 웃음소리",3.5,43
보호자,아저씨를 만들고 싶었나?,3.0,24
대외비,이런 배우들 모아 놓고 돈 지랄한건 대외비임,2.0,19
리멤버,"연출도 맘에 안들지만
프레디가 계속 귀에 거슬린다",2.5,16
기생수 파트2,"인간에 대한 심오한 고찰
1절만 하지",2.5,14
기생수 파트1,"나의 오른손엔 대단한게 살고 있지
만화 부터 봐야하나",3.0,14
잉글리쉬 페이션트,매일 밤 심장을 도려내도 아침이면 다시 차 올라요,3.0,17
시티헌터,"ㅋㅋ
남주는 병신 같지만 멋있고 여주는 주현영이
계속 생각남",3.0,14
오펜하이머,"먼 훗날 감자와 샐러드를 내어주며 상을 주겠지
그리고 용서한다 하겠지",4.0,31
러시 아워 2,저 사람은 러시아워 3에 못 나오겠네  ㅋ,3.0,19
노량: 죽음의 바다,한이 서린 울부짖는 북소리,3.5,27
러시 아워,역시 성룡 형님 영화는 쿠키가 짱이지,3.0,19
파수꾼,그래 네가 최고다 친구야,3.5,21
메이즈 러너,지키려는자와  바꾸려는자,3.0,18
비밀,"반전이라고  보여주는데
설득력이 하나도 없네",2.5,18
특종의 탄생,"실화라는 이야기를 풀어내는 방식이 너무 지루해서
긴장감이 없다",3.0,15
더 이퀄라이저 3,"영화는 그저 그렇고 촬영지에 가보고 싶다
나폴리 알테몬테",2.5,22
더블 타겟,법  보다  총이 가깝다,3.0,16
고속도로 가족,"오빠 미안해
오빠만 없어지면 돼",4.0,18
로기완,무슨 영화가 뒤로가면서 장르가 달라져 버리네,2.5,17
모뉴먼츠 맨: 세기의 작전,역사를 지키는 작전,3.0,19
빅 대디,아빠  사랑해요,3.0,17
포드 V 페라리,"7000rpm 우린 거기서 만나게 될거야
크리스찬 베일 겁나 머시써",4.0,30
폴: 600미터,오금이 저리긴 했다만 딱 거기 까지만,2.5,21
캡틴 필립스,"미국인을 건들면 참지 않아
마지막 톰 형의 연기가 압권",3.5,24
우주인,어느 한 남자의 지독한 반성문,2.5,31
블랙 앤 블루,부조리한 경찰과 맞서는 블랙 앤 블루,3.5,17
저스트 머시,"주연 배우 연기가 좀 아쉽지만

그의 얼굴만 봐도 범인인걸 알수있습다
짜증이납니다",4.0,17
게임 체인저,"권력자가 당하니 바뀌더라
진정한 게임체인저가 아닌가",3.5,12
아인슈타인과 원자폭탄,과학의 앙면에 대한 고찰,3.0,17
브라이언 뱅크스,재판이라는게 참 웃겨,3.5,13
피스메이커,"뭔가 굉장히 바쁜거 같다
정신이 없다",3.0,18
더 베스트 오브 에너미즈,"결말이 예상되는 스토리지만
실화임에 놀랐다",3.5,16
라스트 미션,인생에서 진정한 라스트 미션을 완료하다,4.0,16
위스키 탱고 폭스트롯,"내가 에상한 종군기자의 스토리가 아니였다
새로운 경험은 삶에 꽤 많은 영향을
미치는거 같아",2.5,18
메이헴,"소재는 참 재미난데
제대로 그리지를 못하네 아숩",3.0,16
리프트: 비행기를 털어라,"매번 그리 신나?
뭔가 열심히 하는거 같은데
뭐하는지 모르겠음",3.0,17
황야,"마동석 특유의 타격감을 잘 살린 액션은
볼만했다",3.0,34
그링고,최후의 승자는 일레인 아닌가?,2.5,13
천박사 퇴마 연구소: 설경의 비밀,영화가 뒤로 가면서 재미가 없어지네,3.0,21
S.W.A.T - 특수기동대,돈 많은 범죄자와 다방구 한판,3.0,16
"로만 J 이스라엘, 에스콰이어",정면으로 부딪쳐아죠!,3.5,18
월터의 상상은 현실이 된다,남자는 자신감이지,3.0,26
잠,"영화를 보는 내내 더 이상 이선균의 영화를 볼수없다는게 떠 오르네요
삼가 고인의 명복을 빕니다",2.5,29
트랜스포터 - 엑스트림,여자 악당은 옷을 제대로 입질 않으시네,3.0,20
챔피언,가족이 아니면 같이 살 수 없는거야?,2.5,22
더 웨이 백,배 째라는식으로 공격하란 말이야!!!!!,3.5,20
식스 빌로우,"가지 말라는데는 가지말자
제발",3.0,19
안데스 설원의 생존자들,"이미 예전 영화를 통해 알고 있던 일이지만
이렇게 구조가 되는건지 몰랐네
대단하단 말 밖엔",3.0,29
애스터로이드 시티,"귀엽고 아주 특이한 영화라는건 알겠는데
뭘 말하고자 하는지는 모르겠다",3.0,20
"가라, 아이야, 가라","많은 생각을 하게 만드는 이야기
아맨다의 마음이 궁금하다",3.5,17
거미집,"나도 거미가 싫다
이 영화도 싫다",2.0,25
로맨틱 홀리데이,부러우면 지는거다,2.5,22
폭로,"법정 분위기는 잘 살렸으나
반전이 너무 뜬금없다",2.5,24
Rebel Moon — 파트 1: 불의 아이,"배두나 아닌가 했는데 배두나네
네메시스 화이팅
우주배경
동료모으고
전쟁준비하다 끝",2.5,30
애프터썬,"쉽지 않은 영화다
그나저나 딸을 낳고 싶게 하는 영화",3.5,24
그란 투리스모,"어떤 것이든 미치도록 즐기면 이렇게도
기회가 오는구나",3.5,26
리브 더 월드 비하인드,정말 불친절한 영화구만,2.0,25
타겟,이 영화를 당근이 싫어할거 같다,2.5,36
시카고,욕망의 시카고를 뮤지컬로 완벽하게 표현했다,3.5,27
오토나리: 사랑의 전주곡,"바람을 모아
소리를 내다",3.0,25
콘크리트 유토피아,순살자이가 이 영화를 싫어합니다,3.0,28
인 타임,시간은 금이라고 친구!,3.0,24
종이 달,종이로 만들어진 행복,3.5,24
화이트 스톰2 : 마약전쟁,원래 형제끼리는 싸우는 거야,3.0,20
그레이트 월,"유덕화 행님에 맷데이먼 행님인데
많이 아쉽다
갑옷이 후레쉬맨 같어",3.0,23
지옥만세,죽지도 못하고 살지도 못 해,3.0,25
더 킬러,"면봉 같은 여자
거짓말은 아니였군",3.0,29
혹성탈출: 반격의 서막,"유인원은 유인원을 죽이지 않는다
코비는 예외다",3.0,24
쥬만지,"커스틴 던스트는 그대로 큰거구나
로빈형 보고싶다",3.0,25
분노의 질주: 라이드 오어 다이,역시 자동차 액션은 볼만한듯,3.0,25
독전 2,완전히 다른 영화가 되어버렸네,2.0,41
비공식작전,나는 대한민국 외교관 이민준입니다,2.5,20
미녀 삼총사 2 - 맥시멈 스피드,"볼거리가 훨씬 많아진 속편
웃는 얼굴이 좋아",3.0,18
미녀 삼총사,담배 진짜 맛나게 피네,3.0,22
재키,"짪았던 그 빛나는 순간이 기억 됐으면
좋겠어요",3.0,21
나를 차버린 스파이,아주 잘 차버린 스파이,2.5,22
비닐하우스,"너무 무겁고 음침하다
행복하게 살았을까?",2.5,20
무서운 영화,너무 무서운 영화 ㄷㄷ,3.0,18
쉬즈 더 맨,"아만다의 매력  넘치는 연기
귀여워 😍",3.0,18
수퍼 소닉2,소닉이랑 너클이 좀 씻겨주고 싶다,2.0,19
BB 프로젝트,"역시 명불허전 성룡
애기가 연기 천재인듯",3.0,14
어바웃 타임,시간과 인생에 관한 아름다운 이야기,3.5,28
영웅,백기가 올라오면 난 하늘에서 즐거워 웃겠지요,2.5,17
일단 뛰어,시트콤 찍는 줄,1.5,14
슈퍼 마리오 브라더스,악당 거북이 귀엽고 하찮해,3.5,21
감옥,이 무슨 허망한 스토리인가,2.0,17
미스터 주: 사라진 VIP,"개는 참 좋아
영화는 아주 착한 이야기로 마무리",3.0,17
바람개비,누가봐도 부산인데 대구라 카네,0.5,16
악마들,이걸 만든 사람도 악마,1.0,23
탈피,민중의 지팡이들이 왜 그러는거야,3.0,29
피는 물보다 진하다,피는 당연히 물 보다 진하다,1.0,21
노웨어,세상 모든 어무이는 강하다,3.0,23
미션 파서블,입 꼬리 한번도 올라가지 않는닷,2.0,20
극장판 주술회전 0,약속쿠요,2.5,16
연애 빠진 로맨스,"주인공도 해보고 따까리도 해 보는게
인생이지",3.5,19
코난 : 암흑의 시대,"마스크 쓰면 겁나 강해지는게 아니였어?
악역이 너무 약해",2.0,17
프리미엄 러쉬,"자전거 체이싱  아주 쫄깃하네
픽시 자전거는 함부러 타지 마세요",3.0,20
라방,반전이 나름 괜찮았다,3.0,19
발레리나,"복수라는 단순한 스토리를 늘리기 위한
몸부림이 느껴진다",1.0,28
빈틈없는 사이,"애정을 가지고 가만히 봤는데
재미가 없다",0.5,21
실버라이닝 플레이북,서로의 부족함을 채우다,4.0,26
내셔널 시큐리티,"말 그대로 좌충우돌 브로맨스 영화
가볍게 즐기기용",3.0,18
나잇 & 데이,"카메론 디아즈는 귀엽고
톰 형은 잘 생김",2.5,23
쥬라기 월드,이건 공룡이 아니야,3.0,27
분노,"수도 없이 봐온 스토리지만
여주의 파이팅이 멋나다",3.0,19
어웨이크,잠을 못 자면 죽는게 낫긴하겠다,2.0,17
더 웨이 홈,"난 루카스의 개이기 때문이다
고양이 왜 착한거지?",3.5,20
스트리머,음 무섭긴했다,1.5,18
침입자,장삐쭈가 만든 광고 영상이 더욱 재미있어요,2.0,20
폴라,마음을 닫아 방아쇠를 당겨라,4.0,23
마이 네임 이즈 벤데타,따님이 꽤 빌런 이시네요?,1.5,19
타워,"리얼하긴한거 같다
스토리는 다를게 없지만",2.5,23
레슨 플랜,"마동석님한테서 타격감 좀 배우고
액션 좀 배우자",1.0,23
탐정 홍길동: 사라진 마을,"귀여운 말순이 잘 생긴 이제훈
영화는 그닥",2.5,23
사라진 탄환,마무리를 왜케 찝찝하게 했지,3.5,21
배틀쉽,"공군이 첨부터 지원했으면 어땠을까
눈은 즐거운 영화",3.5,24
데어데블,정의 실현 완료,3.0,17
쥬라기 월드: 폴른 킹덤,박치기 공룡이 최고네,2.5,25
패러다이스,"나이가 변한 후의 스토리를 좀 더 보여줬으면
어땠을까",2.0,25
스트리트 킹,집안 싸움 살벌하게 하네,3.0,17
역병,"고생하는 의료인 감사합니다
영화는 재미가  없어요",2.5,20
37초,단 37초안에 담긴 꽤 괜찮은 이야기,3.5,16
노잉,외계에서의 아담과 이브 탄생 비화,3.0,30
폭풍 속으로,키아누리브스  형님이 호구로 나오다니,3.0,19
좀100: 좀비가 되기 전에 하고 싶은 100가지,이런 영화를 만들바엔 좀비에 물려 죽고 말지,0.5,21
하트 오브 스톤,"몇군데 얙션은 볼만 했으나
내용이 너무 평범",2.5,26
빌리지,남주는 원래 또라이였던것,2.5,19
마크 캐번디시: 나는 멈추지 않는다,"끝날 때 까지 끝난게 아니게 하려면
이렇게 갈아  넣어야한다",3.0,19
스토어웨이,"미국맛 신파
켄드릭 누나가 나와서 보긴했는데
연관성도 없고 긴장도 없다",2.0,17
블랙폰,영빨로 탈출하는 이야기,1.0,23
남매의 여름밤,여름날 어느 가족의 이야기,3.0,18
가장 깊은 호흡,가장 깊은 신뢰가 있어야 가능하지 않을까,3.5,23
더 웨일,스스로 일어나지 못하는 한 남자 이야기,2.5,24
바이킹 울프,나도 요즘 밤에 못 자는데 혹시?  ㄷㄷ,1.0,14
파이란,"모두 친절하지만 성재씨가 제일 친절해요
나랑 결혼 해 줬으니까요",3.5,22
고스트 워,나름 괜찮은 소재로 잘 풀어낸거 같다,3.5,14
터미네이터 제니시스,스카이넷 충성충성!!,2.5,17
스파이럴,직쏘만큼 살인에 대한 스토리가 약하다,3.0,12
클로버필드 패러독스,"배우들끼리 매우 분주한데 뭘하려하는건지
알수가 없다",2.0,16
오토라는 남자,"많이 봐온 스토리 라인이지만
톰 행크스만의 느낌이 좋다",3.5,28
간첩 리철진,"지금은 유명 배우가 된 조연들 보는것으로
만족",2.0,16
야라,실화임에도 왜인지 찝찝함이 남는 영화다,3.0,16
클로버필드,겁나 쎈 브이로그,3.0,20
드림,"신파로 가다가 국뽕  보여주고 다시 신파로
마무리",2.0,19
도희야,스스로를 구하다,2.5,15
맨발의 꿈,"대박이네
정말 영화 같은 실화네",5.0,13
메간,사탄의 인형을 한번 더 보는게 좋을듯,2.0,20
헝거,이야기가 왔다 갔다 방향을 잃은거 같다,2.0,14
다음 소희,"힘든 일을하면 존경을 받아야 하는데
그런 일을 한다고 욕을하다니
이상한거  아니야?",4.0,31
웅남이,웅남이 너 이 새끼!!,1.0,23
퍼시픽 림: 업라이징,"사람 신경과도 연결하는데
왜 날아다니는 기능은 없는거지",2.0,19
브리티시 오픈의 유령,"연습하세요
완벽으로 가는 길이니까요",3.0,21
스카이스크래퍼,아빠 노릇하기 힘들어,2.5,20
언프렌디드: 다크 웹,남의 물건 훔치면 죽는거다,2.5,20
언프렌디드: 친구삭제,악플 달면 죽는다,2.5,20
리바운드,"실화라서 놀라긴 했지만
재미는 없었다",2.5,20
모털 엔진,보여준건 많은데 딱히 기억에 남지 않을듯,2.5,17
나를 찾아줘,그녀를 찾지 마세요,3.5,23
차이나타운,"다 같이 밥 먹는게 식구지
범죄자 식구의 가족애",2.5,18
업그레이드,나도 업그레이드 당하고 싶다,3.5,20
리파겐,리파겐은 죽음 보다 더 큰 헝벌을 받은거 같다,3.5,17
제이슨 본,"맷 데이먼의 찰진 타겨감
복귀해야함",3.0,14
그녀가 말했다,군더더기없이 사건에만 집중한 충격 실화,4.0,17
시크릿,지금 보니 대단한 배우 총 출동이네,3.0,14
익스팅션: 종의 구원자,마지막 반전만 볼만하듯,2.5,13
크로싱,애달프고 고달픈 인생,3.5,12
익스트랙션 2,"롱테이크 액션은 정말 볼만하다
아들놈 새퀴 딱밤 마렵네",4.0,26
아이 케임 바이,마무리 겁나 싱겁네,2.5,11
브라이트,오크랑 엘프 모셔 놓고 총 싸움이라니,3.0,12
데어 윌 비 블러드,이 정도 파이팅이 있어야 성공하는구나,4.0,20
에밀리: 범죄의 유혹,기 겁나 쎈 누나,3.0,16
나이브스 아웃: 글래스 어니언,앙파 같은 사람 마음,3.5,22
서치 2,1편 보다 스케일은 커졌으나 디테일이 아숩다,3.0,21
콰이어트 플레이스 2,"도착하자마자 방송국 가지  그랬어
고구마 답답",3.0,25
콰이어트 플레이스,조용히해 난 엄청 예민하다구,2.5,23
나의 마더,돋보이는 주제의식,3.0,15
샤프트,샤프트 3대가 다 해 먹는 영화,3.0,13
캅샵: 미친놈들의 전쟁,생각 보다 덜 미친자들,2.0,15
비바리움,죽음으로 인생 탈출,3.5,23
히든,웃음도 나지 않구먼요,0.5,17
존 윅 3: 파라벨룸,"총격신에 비해 난투극은 덜 자연스러운듯
개님이 머찌네",3.5,25
존 윅,"춤 추는 총격신
개는 건드리지 말라",3.5,31
카운트,복싱계에 이런 일도 있었군,3.0,16
내가 살인범이다,"꽤 괜찮은 액션
정재영 참 찰지게 욕잘하셔",3.0,17
내 이름은 마더,엄마 사랑해,3.0,16
B컷,에로 영화네,0.5,14
여타짜,와 진짜 잼있다,1.0,19
태풍,아주 긴 뮤직비디오를 본거 같은 느낌,2.5,16
어썰트 13,경찰서를 지켜라 매운맛,3.0,15
분닥 세인트 2,1편에 비해 너무 순해졌어,2.5,16
굿 윌 헌팅,"네 마음을 따라가
그럼 괜찮을꺼야",4.0,23
서스펙트,"착한 아이가 죽으면 천사가 내려와 품에 안고
그 애가 좋아하는 곳을 날아다닌데",3.5,22
공기살인,답답하다 정말,3.5,19
늑대사냥,벨런스 아작난 영화,2.5,23
히트,난 죽어도 감옥 안가,3.5,18
왕의 남자,나 죽어 다시 태어나도 광대,4.5,23
판의 미로 - 오필리아와 세 개의 열쇠,"세상은 동화책 처럼 행복하지 않아
잔인하지",3.5,25
레드,"선수입장 같은 대사 없이 깔끔하네
한컷 나온 스타뎀?",3.0,19
조 블랙의 사랑,더 없이 사랑하라,3.5,19
영웅,"연출이 많이 아쉽지만
그래도 소중한 이야기",4.0,16
펄프 픽션,성경을 읽어 보나? 내가 외우고 있는 구절이 있지,3.5,21
드라이브,"이렇게까지 개입 할 이유가 있나 싶지만
라이언이 좋다는데 뭐",3.0,18
카드카운터,스토리가 갈팡질팡하네,2.0,16
분닥 세인트,"함무라비 법 집행
찬성?  반대?",4.0,15
위험한 사돈,"라이언 레이놀즈 ㅎ
이 사람이 데드풀이라고?",2.5,15
에이전트 A.K.A.,총격씬은 볼만 했다,3.0,15
교섭,별점이 짠게 아니라 정말 재미가 없네,2.0,23
모비딕,"소재는 참 좋은거 같은데
이야기에 힘이 없다",3.0,17
사선에서,"젊은 말코비치와
변태적인 말빨 보여주시는 이스트우드
형님의 조합",3.5,18
레드 씨 다이빙 리조트,"한명 구하는게 세상을 구한거야
우린 480명을 구했어",3.0,18
마일 22,"이송 대상이 더 쎈거 같어
마무리가 많이 아숩네",3.5,18
글러브,야구에 사랑이 있는거 알어?,3.0,14
하프 패스트 데드,"옛날 액션 느낌 좋아
시걸이 형 목 꺽는게 안 나오네",3.0,15
언차티드,좀 많이 부족한 인디애나 존스 같은 영화,2.5,24
트라이앵글,"꽤나 특이한 영화다
돌아 오실 거죠?",3.5,17
사보타지,가오로 몸이 지배된 형님,2.5,16
화이트 하우스 다운,"액션도 좋고 가벼운 개그코드
의외로 잼났다",3.5,21
패트리어트 게임,아빠 노릇하기 참 힘들어,3.0,13
미스 발라,박정현씨 연기도 잘하시네요,2.0,12
월드 인베이젼,바이오닉 테란 VS 메카닉 테란,3.0,16
공범,"끝날 때 까지 끝난게 아니야
근데 손예진 미모 실화임?",3.5,19
머더 미스터리 2,"1편에 비해 성의가 없어보이네
돈은 더 쓴거 같은데",2.0,25
머더 미스터리,"세번 정도 피식 했으니
별 세개",3.0,21
킹덤,"전투 액션이 리얼 해서 좋음
하지만 끝내지 못한 전투",3.5,19
웨더링,설득력이 너무 없는데,1.5,18
러빙 어덜츠,"와이프가 참 이해되지 않는다
저걸 참네",3.5,22
백야행,마지막 희미한 태양마저 떨어지다,3.5,18
용의자X적 헌신,류승범만한 X는 없다,2.5,18
크리스마스 캐럴,뭐 하나 건질게 없는 영화,0.5,20
"아, 벨린다",뭐야 스위치랑 똑같네,2.0,18
돌이킬 수 없는,"보기 힘든 영화이다
최면용인가",3.0,22
클로이,그녀를 믿지 마세요,3.0,20
헤이터,"이야기 진행이 너무 느려고
여자의 마음을 얻기 위해 이렇게 까지?",2.5,17
브레슬라우의 처형,"아수라 같은 주인공의 헤어 처럼
살인자의 두 모습",2.5,17
스위치,너무 많이 본듯한 이야기,2.0,31
하류인생,"승우 형님 완전 날아 다니셨네
위나 아래나 하류인생이 판을 치던 시절",3.0,17
